key,response,group,num_options
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,a,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,c,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,orig alpha,5
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,a,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,a,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,a,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,a,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2a_W41,b,float alpha,6
HAPPEN2a_W41,d,float alpha,6
HAPPEN2a_W41,c,float alpha,6
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,a,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,orig alpha,5
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,a,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,a,float alpha,6
HAPPEN2b_W41,c,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,a,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,a,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,a,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
HAPPEN2b_W41,b,float alpha,6
