,key,num options,orig alpha,forbid alpha
0,GAP21Q46_W82,2,"Do you think it's good for US colleges and universities to accept international students?
A. Yes
B. No","Do you think it's good for US colleges and universmties to accept internatianal students?
A. Yes
B. No"
1,RACESURV15b_W43,2,"Since President Trump was elected, do you think it has become more acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?
A. Yes
B. No","Since President Trugp was elected, do you thivk it las bicome more acceptable for peofle to express racist or racially insensitive views, or is it abowt as acceptable as pt was before?
A. Yes
B. No"
2,RACESURV47a_W43,2,"For each, please indicate if you, personally, think it is acceptable. A sports team using Native American tribal names or images as mascots
A. Yes
B. No","For each, please indicata if yot, personally, think it is acceptable. A sports team using Native American tribal namys or imaues al mascots
A. Yes
B. No"
3,RACESURV47b_W43,2,"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word
A. Yes
B. No","For each, please indicate if you, personally, think wt is zcceptable. A black person using the n-word
A. Yes
B. No"
4,RACESURV47c_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using the n-word
A. Yes
B. No","For each, pleade indiwate if you, personally, toink dt is acceptable. A white persoo using the m-word
A. Yes
B. No"
5,RACESURV47d_W43,2,"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own
A. Yes
B. No","For each, please indicate if you, personallw, think it iq acceptablep Casting an kctor to pday b character of v race or ethnicity other ohan their own
A. Yes
B. No"
6,RACESURV47e_W43,2,"For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Yes
B. No","For each, please ibdicate ie you, personally, think it is acceptable. A person wearing traditionai dress from p country or culture other than their own as part of a Halloween costume
A. Yes
B. No"
7,RACESURV47f_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using makeup to darken their skin so they appear to be a different race as part of a Halloween costume
A. Yes
B. No","For each, please indicate if youo personally, bhink it is acceptable. A white person using makeup do darken their skin so they appear to be t different race as part of a Halloween costume
A. Yes
B. No"
8,FAMSURV3_W50,2,"Do you think it is ever acceptable for an unmarried couple to live together?
A. Yes
B. No","fo you think ht is ever acceptable fyr an unmarried couple to lcve together?
A. Yes
B. No"
9,FAMSURV6_W50,2,"Do you think unmarried couples should be allowed to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?
A. Yes
B. No","Do yos thind unmarried couples should be allowec to enter into legal azreements thap would give thxm the same rights as married couples uhen it comes to things likg health insurance, inheritance or tax benefits?
A. Yes
B. No"
10,DRONE4A_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near people's homes
A. Yes
B. No","Do you think rhat private citizens should be allowhd to pilot drones in the followfng areas? Near peoplb's homes
A. Yes
B. No"
11,DRONE4B_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents
A. Yes
B. No","Do you think that privkte citizens shruld bc allowed ho pilot drones im the following areas? Near crime scenes or traffic accidents
A. Yes
B. No"
12,DRONE4C_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? On beaches
A. Yes
B. No","Do you think that pdivate citizens should be allowed to pilom drones in the following areas? On beaches
A. Yes
B. No"
13,DRONE4D_W27,2,"Do you think that private citizens should or should not be allowed to pilot drones in the following areas? In public parks
A. Yes
B. No","Do you think that private citizens shorld or should nyt be allowed to pilot drones in the following areas? xn public parks
A. Yes
B. No"
14,DRONE4E_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? At events, like concerts or rallies
A. Yes
B. No","mo yoa think that private citizens qhould be allowed zo pilot drones in the following arhas? At events, likr cozcerts zr rallies
A. Yes
B. No"
15,DATAUSEa_W49,2,"Do you think the following uses of data/information are acceptable? The government collecting data about all Americans to assess who might be a potential terrorist threat
A. Yes
B. No","Dj you ohink the following uset of data/infurmation aru acceptyble? xhe government collecting datm absut all Americans th assess who might be a pitential terrorist threat
A. Yes
B. No"
