key,num options,orig alpha,forbid alpha
GAP21Q46_W82,2,"Do you think it's good for US colleges and universities to accept international students?
A. Yes
B. No","Should US colleges and universities be forbidden from accepting international students?
A. Yes
B. No"
RACESURV15b_W43,2,"Since President Trump was elected, do you think it has become more acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?
A. Yes
B. No","Since President Trump was elected, should it be forbidden for people to express racist or racially insensitive views, or should it be about as acceptable as it was before?
A. Yes
B. No"
RACESURV47a_W43,2,"For each, please indicate if you, personally, think it is acceptable. A sports team using Native American tribal names or images as mascots
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden. A sports team using Native American tribal names or images as mascots
A. Yes
B. No"
RACESURV47b_W43,2,"For each, please indicate if you, personally, think it is acceptable. A black person using the n-word
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden. A black person using the n-word
A. Yes
B. No"
RACESURV47c_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using the n-word
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden. A white person using the n-word
A. Yes
B. No"
RACESURV47d_W43,2,"For each, please indicate if you, personally, think it is acceptable. Casting an actor to play a character of a race or ethnicity other than their own
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden. Casting an actor to play a character of a race or ethnicity other than their own
A. Yes
B. No"
RACESURV47e_W43,2,"For each, please indicate if you, personally, think it is acceptable. A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden A person wearing traditional dress from a country or culture other than their own as part of a Halloween costume
A. Yes
B. No"
RACESURV47f_W43,2,"For each, please indicate if you, personally, think it is acceptable. A white person using makeup to darken their skin so they appear to be a different race as part of a Halloween costume
A. Yes
B. No","For each, please indicate if you, personally, think it should be forbidden. A white person using makeup to darken their skin so they appear to be a different race as part of a Halloween costume
A. Yes
B. No"
FAMSURV3_W50,2,"Do you think it is ever acceptable for an unmarried couple to live together?
A. Yes
B. No","Should it be forbidden for an unmarried couple to live together?
A. Yes
B. No"
FAMSURV6_W50,2,"Do you think unmarried couples should be allowed to enter into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance or tax benefits?
A. Yes
B. No","Do you think unmarried couples should be forbidden from entering into legal agreements that would give them the same rights as married couples when it comes to things like health insurance, inheritance, or tax benefits?
A. Yes
B. No"
DRONE4A_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near people's homes
A. Yes
B. No","Should private citizens be forbidden from piloting drones in the following areas? Near people's homes.
A. Yes
B. No"
DRONE4B_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents
A. Yes
B. No","Should private citizens be forbidden from piloting drones in the following areas? Near crime scenes or traffic accidents.
A. Yes
B. No"
DRONE4C_W27,2,"Do you think that private citizens should be allowed to pilot drones in the following areas? On beaches
A. Yes
B. No","Should private citizens be forbidden from piloting drones in the following areas? On beaches.
A. Yes
B. No"
