key,response,group,num_options
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,b,question 0,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,a,question 1,3
AVGFAM_W41,b,question 1,3
AVGFAM_W41,b,question 1,3
